name,pct_change,total_mv,up_num,down_num
麒麟电池,1.32,124758092.8,7.0,2.0
机器人概念,1.31,661411302.4,294.0,160.0
汽车热管理,1.33,81191872.0,54.0,23.0
F5G概念,2.43,54793272.0,20.0,3.0
超超临界发电,1.3,85893769.6,39.0,4.0
粮食概念,1.09,20397709.6,26.0,2.0
痘病毒防治,2.14,61747369.6,48.0,7.0
数字哨兵,1.28,8592907.8,9.0,3.0
千金藤素,0.68,13428702.0,4.0,1.0
噪声防治,-0.1,3118474.6,4.0,4.0
新型城镇化,1.41,41488504.0,84.0,12.0
户外露营,0.64,12472750.4,18.0,8.0
肝炎概念,1.7,40845467.2,41.0,4.0
统一大市场,1.76,35347542.4,32.0,5.0
建筑节能,2.27,19428463.4,34.0,8.0
电子身份证,1.9,33601752.0,30.0,5.0
托育服务,0.37,8463023.1,7.0,6.0
啤酒概念,0.75,23057900.8,16.0,1.0
中俄贸易概念,1.52,45524201.6,44.0,12.0
跨境支付,2.48,1123948160.0,37.0,11.0
土壤修复,0.87,19063600.4,28.0,6.0
智慧灯杆,1.45,12746552.1,21.0,3.0
净水概念,1.4,114776812.8,15.0,2.0
民爆概念,0.38,16200632.0,12.0,5.0
气溶胶检测,1.32,21700983.3,9.0,1.0
东数西算,3.75,109153937.6,44.0,14.0
重组蛋白,1.71,14957540.5,13.0,1.0
数字经济,2.77,173489894.4,132.0,27.0
新冠药物,1.89,52987268.8,53.0,3.0
百元股,1.46,1261844044.8,54.0,35.0
地下管网,1.44,29320100.8,38.0,4.0
电子纸概念,1.25,37163657.6,12.0,0.0
幽门螺杆菌概念,1.34,45758768.0,41.0,8.0
虚拟数字人,1.68,342005184.0,60.0,21.0
DRG/DIP,6.5,15135405.9,17.0,1.0
低价股,2.04,209885502.4,210.0,17.0
动力电池回收,1.16,69987392.0,31.0,6.0
昨日连板_含一字,8.26,30395784.0,24.0,3.0
昨日涨停_含一字,4.89,211559617.6,80.0,20.0
EDR概念,1.22,31073766.4,11.0,3.0
IGBT概念,1.09,203607203.2,34.0,4.0
数据安全,2.85,97811688.0,67.0,13.0
调味品概念,1.12,68225400.0,27.0,5.0
预制菜概念,0.99,62757716.8,50.0,5.0
绿色电力,1.02,464826854.4,106.0,17.0
培育钻石,0.41,13354076.4,11.0,3.0
职业教育,2.07,65660691.2,59.0,12.0
发电机概念,2.5,13020806.1,16.0,4.0
华为欧拉,4.37,32626368.0,15.0,2.0
